# From NMAP.org

@{Code=00009D; Vendor=Locus Computing}
@{Code=00009E; Vendor=Marli S.A}
@{Code=00009F; Vendor=Ameristar}
@{Code=0000A0; Vendor=SANYO Electric}
@{Code=0000A1; Vendor=Marquette Electric}
@{Code=0000A2; Vendor=Bay}
@{Code=0000A3; Vendor=Network Application}
@{Code=0000A4; Vendor=Acorn}
@{Code=0000A5; Vendor=Tattile SRL}
@{Code=0000A6; Vendor=Network General}
@{Code=0000A7; Vendor=Network Computing Devices}
@{Code=0000A8; Vendor=Stratus}
@{Code=0000A9; Vendor=Network}
@{Code=0000AA; Vendor=Xerox}
@{Code=0000AB; Vendor=Logic Modeling}
@{Code=0000AC; Vendor=Conware}
@{Code=0000AD; Vendor=Bruker Instruments}
@{Code=0000AE; Vendor=Dassault}
@{Code=0000AF; Vendor=Canberra}
@{Code=0000B0; Vendor=RND-RAD Network Devices}
@{Code=0000B1; Vendor=Alpha Micro}
@{Code=0000B2; Vendor=Televideo}
@{Code=0000B3; Vendor=Cimlinc}
@{Code=0000B4; Vendor=Edimax}
@{Code=0000B5; Vendor=Datability}
@{Code=0000B6; Vendor=Micro-Matic}
@{Code=0000B7; Vendor=Dove}
@{Code=0000B8; Vendor=Seikosha}
@{Code=0000B9; Vendor=Mcdonnell Douglas}
@{Code=0000BA; Vendor=Siig}
@{Code=0000BB; Vendor=TRI-Data}
@{Code=0000BC; Vendor=Rockwell Automation}
@{Code=0000BD; Vendor=Mitsubishi Cable}
@{Code=0000BE; Vendor=THE NTI Group}
@{Code=0000BF; Vendor=Symmetric}
@{Code=0000C0; Vendor=WD}
@{Code=0000C1; Vendor=Madge}
@{Code=0000C2; Vendor=Information Presentation}
@{Code=0000C3; Vendor=Harris}
@{Code=0000C4; Vendor=Waters. Of Millipore}
@{Code=0000C5; Vendor=ARRIS}
@{Code=0000C6; Vendor=EON}
@{Code=0000C7; Vendor=Arix}
@{Code=0000C8; Vendor=Altos}
@{Code=0000C9; Vendor=Emulex}
@{Code=0000CA; Vendor=ARRIS}
@{Code=0000CB; Vendor=Compu-Shack}
@{Code=0000CC; Vendor=Densan}
@{Code=0000CD; Vendor=Allied Telesis}
@{Code=0000CE; Vendor=Megadata}
@{Code=0000CF; Vendor=Hayes Microcomputer}
@{Code=0000D0; Vendor=Develcon}
@{Code=0000D1; Vendor=Adaptec}
@{Code=0000D2; Vendor=SBE}
@{Code=0000D3; Vendor=Wang}
@{Code=0000D4; Vendor=Pure Data}
@{Code=0000D5; Vendor=Micrognosis}
@{Code=0000D6; Vendor=Punch Line}
@{Code=0000D7; Vendor=Dartmouth College}
@{Code=0000D8; Vendor=Novell}
@{Code=0000D9; Vendor=Nippon Telegraph & Telephone}
@{Code=0000DA; Vendor=Atex}
@{Code=0000DB; Vendor=British Telecom}
@{Code=0000DC; Vendor=Hayes Microcomputer}
@{Code=0000DD; Vendor=TCL}
@{Code=0000DE; Vendor=Cetia}
@{Code=0000DF; Vendor=Bell & Howell}
@{Code=0000E0; Vendor=Quadram}
@{Code=0000E1; Vendor=Grid}
@{Code=0000E2; Vendor=Acer}
@{Code=0000E3; Vendor=Integrated Micro}
@{Code=0000E4; Vendor=IN2 Groupe Intertechnique}
@{Code=0000E5; Vendor=Sigmex}
@{Code=0000E6; Vendor=Aptor Produits de Indust}
@{Code=0000E7; Vendor=Star Gate}
@{Code=0000E8; Vendor=Accton}
@{Code=0000E9; Vendor=Isicad}
@{Code=0000EA; Vendor=Upnod}
@{Code=0000EB; Vendor=Matsushita}
@{Code=0000EC; Vendor=Microprocess}
@{Code=0000ED; Vendor=April}
@{Code=0000EE; Vendor=Network Designers}
@{Code=0000EF; Vendor=KTI}
@{Code=0000F0; Vendor=Samsung}
@{Code=0000F1; Vendor=Magna}
@{Code=0000F2; Vendor=Spider}
@{Code=0000F3; Vendor=Gandalf Data}
@{Code=0000F4; Vendor=Allied Telesis}
@{Code=0000F5; Vendor=Diamond Sales}
@{Code=0000F6; Vendor=Applied Microsystems}
@{Code=0000F7; Vendor=Youth Keep}
@{Code=0000F8; Vendor=Digital Equipment}
@{Code=0000F9; Vendor=Quotron}
@{Code=0000FA; Vendor=Microsage}
@{Code=0000FB; Vendor=Rechner ZUR Kommunikation}
@{Code=0000FC; Vendor=Meiko}
@{Code=0000FD; Vendor=High Level Hardware}
@{Code=0000FE; Vendor=Annapolis Micro}
@{Code=0000FF; Vendor=Camtec}
@{Code=000100; Vendor=Equip'Trans}
@{Code=000101; Vendor=Private}
@{Code=000102; Vendor=3Com}
@{Code=000103; Vendor=3Com}
@{Code=000104; Vendor=DVICO}
@{Code=000105; Vendor=Beckhoff Automation}
@{Code=000106; Vendor=Tews Datentechnik}
@{Code=000107; Vendor=Leiser}
@{Code=000108; Vendor=AVLAB}
@{Code=000109; Vendor=Nagano Japan Radio}
@{Code=00010A; Vendor=CIS}
@{Code=00010B; Vendor=Space CyberLink}
@{Code=00010C; Vendor=System Talks}
@{Code=00010D; Vendor=Teledyne DALSA}
@{Code=00010E; Vendor=Bri-Link}
@{Code=00010F; Vendor=Brocade}
@{Code=000110; Vendor=Gotham}
@{Code=000111; Vendor=iDigm}
@{Code=000112; Vendor=Shark Multimedia}
@{Code=000113; Vendor=Olympus}
@{Code=000114; Vendor=Kanda Tsushin Kogyo}
@{Code=000115; Vendor=Extratech}
@{Code=000116; Vendor=Netspect}
@{Code=000117; Vendor=Canal +}
@{Code=000118; Vendor=EZ Digital}
@{Code=000119; Vendor=RTUnet}
@{Code=00011A; Vendor=Hoffmann und Burmeister}
@{Code=00011B; Vendor=Unizone}
@{Code=00011C; Vendor=Universal Talkware}
@{Code=00011D; Vendor=Centillium}
@{Code=00011E; Vendor=Precidia}
@{Code=00011F; Vendor=RC}
@{Code=000120; Vendor=Oscilloquartz S.A}
@{Code=000121; Vendor=WatchGuard}
@{Code=000122; Vendor=Trend}
@{Code=000123; Vendor=Schneider}
@{Code=000124; Vendor=Acer}
@{Code=000125; Vendor=Yaesu Musen}
@{Code=000126; Vendor=PAC}
@{Code=000127; Vendor=OPEN}
@{Code=000128; Vendor=EnjoyWeb}
@{Code=000129; Vendor=DFI}
@{Code=00012A; Vendor=Telematica Sistems Inteligente}
@{Code=00012B; Vendor=TELENET}
@{Code=00012C; Vendor=Aravox}
@{Code=00012D; Vendor=Komodo}
@{Code=00012E; Vendor=PC Partner}
@{Code=00012F; Vendor=Twinhead}
@{Code=000130; Vendor=Extreme}
@{Code=000131; Vendor=Bosch Security}
@{Code=000132; Vendor=Dranetz - BMI}
@{Code=000133; Vendor=KYOWA}
@{Code=000134; Vendor=Selectron}
@{Code=000135; Vendor=KDC}
@{Code=000136; Vendor=CyberTAN}
@{Code=000137; Vendor=IT Farm}
@{Code=000138; Vendor=XAVi}
@{Code=000139; Vendor=Point Multimedia}
@{Code=00013A; Vendor=Shelcad}
@{Code=00013B; Vendor=BNA}
@{Code=00013C; Vendor=TIW}
@{Code=00013D; Vendor=RiscStation}
@{Code=00013E; Vendor=Ascom Tateco}
@{Code=00013F; Vendor=Neighbor World}
@{Code=000140; Vendor=Sendtek}
@{Code=000141; Vendor=Cable Print}
@{Code=000142; Vendor=Cisco}
@{Code=000143; Vendor=Cisco}
@{Code=000144; Vendor=Dell}
@{Code=000145; Vendor=Winsystems}
@{Code=000146; Vendor=Tesco Controls}
@{Code=000147; Vendor=Zhone}
@{Code=000148; Vendor=X-traWeb}
@{Code=000149; Vendor=TDT}
@{Code=00014A; Vendor=Sony}
@{Code=00014B; Vendor=Ennovate}
@{Code=00014C; Vendor=Berkeley Process Control}
@{Code=00014D; Vendor=Shin Kin}
@{Code=00014E; Vendor=WIN}
@{Code=00014F; Vendor=Adtran}
@{Code=000150; Vendor=Gilat}
@{Code=000151; Vendor=Ensemble}
@{Code=000152; Vendor=Chromatek}
@{Code=000153; Vendor=Archtek Telecom}
@{Code=000154; Vendor=G3M}
@{Code=000155; Vendor=Promise}
@{Code=000156; Vendor=Firewiredirect.com}
@{Code=000157; Vendor=Syswave}
@{Code=000158; Vendor=Electro}
@{Code=000159; Vendor=S1}
@{Code=00015A; Vendor=Digital Video Broadcasting}
@{Code=00015B; Vendor=ITALTEL S.p.A/RF-UP-I}
@{Code=00015C; Vendor=Cadant}
@{Code=00015D; Vendor=Oracle}
@{Code=00015E; Vendor=Best}
@{Code=00015F; Vendor=DIGITAL DESIGN}
@{Code=000160; Vendor=ELMEX}
@{Code=000161; Vendor=Meta Machine}
@{Code=000162; Vendor=Cygnet}
@{Code=000163; Vendor=Cisco}
@{Code=000164; Vendor=Cisco}
@{Code=000165; Vendor=AirSwitch}
@{Code=000166; Vendor=TC Group}
@{Code=000167; Vendor=Hioki E.E}
@{Code=000168; Vendor=Vitana}
@{Code=000169; Vendor=Celestix}
@{Code=00016A; Vendor=Alitec}
@{Code=00016B; Vendor=LightChip}
@{Code=00016C; Vendor=Foxconn}
@{Code=00016D; Vendor=CarrierComm}
@{Code=00016E; Vendor=Conklin}
@{Code=00016F; Vendor=Inkel}
@{Code=000170; Vendor=ESE Embedded System}
@{Code=000171; Vendor=Allied Data}
@{Code=000172; Vendor=TechnoLand}
@{Code=000173; Vendor=AMCC}
@{Code=000174; Vendor=CyberOptics}
@{Code=000175; Vendor=Radiant}
@{Code=000176; Vendor=Orient Silver}
@{Code=000177; Vendor=EDSL}
@{Code=000178; Vendor=MARGI}
@{Code=000179; Vendor=Wireless}
@{Code=00017A; Vendor=Chengdu Maipu Electric}
@{Code=00017B; Vendor=Heidelberger Druckmaschinen}
@{Code=00017C; Vendor=AG-E}
@{Code=00017D; Vendor=ThermoQuest}
@{Code=00017E; Vendor=ADTEK System Science}
@{Code=00017F; Vendor=Experience Music Project}
@{Code=000180; Vendor=AOpen}
@{Code=000181; Vendor=Nortel}
@{Code=000182; Vendor=Dica}
@{Code=000183; Vendor=Anite Telecoms}
@{Code=000184; Vendor=Sieb & Meyer}
@{Code=000185; Vendor=Hitachi Aloka Medical}
@{Code=000186; Vendor=Uwe Disch}
@{Code=000187; Vendor=I2SE}
@{Code=000188; Vendor=LXCO}
@{Code=000189; Vendor=Refraction}
@{Code=00018A; Vendor=ROI}
@{Code=00018B; Vendor=NetLinks}
@{Code=00018C; Vendor=Mega Vision}
@{Code=00018D; Vendor=AudeSi}
@{Code=00018E; Vendor=Logitec}
@{Code=00018F; Vendor=Kenetec}
@{Code=000190; Vendor=SMK-M}
@{Code=000191; Vendor=SYRED Data}
@{Code=000192; Vendor=Texas Digital}
@{Code=000193; Vendor=Hanbyul Telecom}
@{Code=000194; Vendor=Capital Equipment}
@{Code=000195; Vendor=Sena}
@{Code=000196; Vendor=Cisco}
@{Code=000197; Vendor=Cisco}
@{Code=000198; Vendor=Darim Vision}
@{Code=000199; Vendor=HeiSei}
@{Code=00019A; Vendor=LEUNIG}
@{Code=00019B; Vendor=Kyoto Microcomputer}
@{Code=00019C; Vendor=JDS Uniphase}
@{Code=00019D; Vendor=E-Control}
@{Code=00019E; Vendor=ESS}
@{Code=00019F; Vendor=ReadyNet}
@{Code=0001A0; Vendor=Infinilink}
